"member_casual","year","number_of_rides","average_duration"
"casual",2015,904028,29.9152725358064
"casual",2016,1672974,31.684938319424
"casual",2017,741683,31.6522287823774
"casual",2018,664649,63.7369980245212
"casual",2019,862070,58.1651838017794
"casual",2020,1331945,49.5876954378747
"casual",2021,2041583,36.4496873259623
"casual",2022,1521197,35.673929149216
"casual",2023,94924,31.0113669883275
"member",2015,1851856,13.8985309872906
"member",2016,4496538,13.8604917827893
"member",2017,1993383,13.6785028266018
"member",2018,2405876,16.8533062385593
"member",2019,2432075,16.5382806862453
"member",2020,2234598,17.0669977329256
"member",2021,2154950,16.3155061602357
"member",2022,1922642,15.7607198844091
"member",2023,291320,13.8990319923109
